date,away,home,fruit,veg,meat,dairy
2002,2.5,1.3,1.9,6.4,0.6,0.6
2003,2.1,2.2,3.3,2.1,5.4,-.1
2004,3,3.8,2.8,4.3,8.4,7.3
2005,3.1,1.9,3.7,4,2.3,1.2
2006,3.1,1.76,4.6,.7,-.5
2007,3.6,4.2,4.5,3.2,3.3,7.4
2008,4.4,6.4,4.8,5.6,3.5,8
2009,3.5,0.5,-6.1,-3.4,-0.6,-6.4
2010,1.3,0.3,-.6,2,2.8,1.1
2011,2.3,4.8,3.3,5.6,8.8,6.8
2012,2.8,2.5,1,-5.1,3.4,2.1
2013,2.1,0.9,2,4.7,-1.2,.1
2014,2.4,2.4,4.8,-1.3,9.2,3.6
2015,2.9,1.2,-2.2,1.6,3,-1.3
2016,2.6,-1.3,2.2,0,-4.4,-2.3
2017,2.3,-0.2,.5,-.1,-.6,.1
2018,2.6,0.4,1,1.1,.4,-0.5
2019,3.1,0.9,-1.4,3.8,1.3,1
2020,3.4,3.5,-.8,2.6,7.4,4.4
2021,4.5,3.5,5.5,1.1,7.7,1.4
2022,7.7,11.4,7.9,7.0,8.2,12
